rufas_id,Name,feed_description,feed_type,units
97,GRASS-Legume MIXTURES Pr. GR.Â  (17-22% Hcel.),"Silage, mid-maturity",Forage,kg
98,GRASS-Legume MIXTURES Pr. GR.Â  (17-22% Hcel.),"Silage, mature",Forage,kg
99,Mixed grass-legume (12-15% Hcel.),Hay,Forage,kg
100,Mixed grass-legume (12-15% Hcel.),Silage,Forage,kg
101,Mixed grass-legume (12-15% Hcel.),Pasture ,Forage,kg
102,Grass-LEGUME MIXTURES Pr. LG. (10-13% HCEL.),"Hay, mature",Forage,kg
103,Grass-LEGUME MIXTURES Pr. LG. (10-13% HCEL.),"Hay, immature",Forage,kg
104,Grass-LEGUME MIXTURES Pr. LG. (10-13% HCEL.),Silage,Forage,kg
105,"LEGUMES, FORAGE","Pasture, intensively managed",Forage,kg
106,"LEGUMES, FORAGE","Hay, immature",Forage,kg
107,"LEGUMES, FORAGE","Hay, mid maturity",Forage,kg
108,"LEGUMES, FORAGE","Hay, mature",Forage,kg
109,"LEGUMES, FORAGE","Silage, immature",Forage,kg
110,"LEGUMES, FORAGE","Silage, mid maturity",Forage,kg
111,"LEGUMES, FORAGE","Silage, mature",Forage,kg
112,LINSEED (FLAX),"Meal, solvent",Conc,kg
113,LINSEED (FLAXSEED),Grain,Conc,kg
114,MEAT,"Meal, rendered",Conc,kg
115,MEAT,"Meat and bone, rendered",Conc,kg
116,MILLET,Hay,Forage,kg
117,MILLET,Silage,Forage,kg
118,MOLASSES,Beet sugar,Conc,kg
119,MOLASSES,Sugarcane,Conc,kg
120,OATS,"Grain, rolled",Conc,kg
121,OATS,"Hay, headed",Forage,kg
122,OATS,Hulls,Conc,kg
123,OATS,"Silage, headed (mature)",Forage,kg
124,OATS,"Silage, mid-maturity",Forage,kg
125,OATS,"Silage, immature",Forage,kg
126,PEAS,Hay,Forage,kg
127,PEAS,Silage,Forage,kg
128,PEAS,Peas,Conc,kg
129,PEANUT,"Meal, solvent",Conc,kg
130,PEANUT,Hay,Forage,kg
131,PEANUT,Hulls,Conc,kg
132,PEANUT,Skins,Conc,kg
133,PEANUT,Peanuts,Conc,kg
134,PINEAPPLE,Cannery waste,Conc,kg
135,POTATO,Byproduct meal,Conc,kg
136,POTATO,Byproduct ,Conc,kg
137,POULTRY,Byproduct meal,Conc,kg
138,RICE,Bran,Conc,kg
139,RICE,"Bran, deffated ",Conc,kg
140,RICE,Hulls,Conc,kg
141,RICE,"Silage, headed",Forage,kg
142,RICE,"Silage, vegetative",Forage,kg
143,RICE,Grain,Conc,kg
144,"RYE, ANNUAL","Silage, vegetative (mature)",Forage,kg
145,"RYE, ANNUAL","Fresh, immature",Forage,kg
146,"RYE, ANNUAL","Fresh, mid-maturity",Forage,kg
147,"RYE, ANNUAL","Hay, immature",Forage,kg
148,"RYE, ANNUAL","Hay, mature",Forage,kg
149,"RYE, ANNUAL","Silage, immature",Forage,kg
150,"RYE, ANNUAL","Silage, mid-maturity",Forage,kg
151,"RYE, ANNUAL","Hay, mid-maturity",Forage,kg
152,"RYE, ANNUAL",Grain,Conc,kg
153,SAFFLOWER,"Meal, solvent",Conc,kg
154,"SORGHUM, GRAIN TYPE","Grain, dry rolled",Conc,kg
155,"SORGHUM, GRAIN TYPE","Grain, steam-flaked",Conc,kg
156,"SORGHUM, GRAIN TYPE","Silage, mature",Forage,kg
157,"SORGHUM, GRAIN TYPE",Hay,Forage,kg
158,"SORGHUM, GRAIN TYPE","forage silage, immature ",Forage,kg
159,"SORGHUM, GRAIN TYPE","Sorghum soybean,silage",Forage,kg
160,"SORGHUM, SUDAN TYPE",Hay,Forage,kg
161,"SORGHUM, SUDAN TYPE",Silage,Forage,kg
162,SOYBEAN,Hay,Forage,kg
163,SOYBEAN,Hulls,Conc,kg
164,SOYBEAN,"Meal, expellers",Conc,kg
165,SOYBEAN,"Meal, nonenzymatically browned",Conc,kg
166,SOYBEAN,"Meal, solvent, 44% CP",Conc,kg
167,SOYBEAN,"Meal, solvent, 48% CP",Conc,kg
168,SOYBEAN,"Meal, extruded",Conc,kg
169,SOYBEAN,"Seeds, whole",Conc,kg
170,SOYBEAN,"Seeds, whole roasted",Conc,kg
171,SOYBEAN,Silage,Forage,kg
172,SOYBEAN,"Silage, early maturity",Forage,kg
173,SPELT ,Grain,Conc,kg
174,SUDAN GRASS,"Hay, mature",Forage,kg
175,SUDAN GRASS,"Hay, mid-maturity",Forage,kg
176,SUDAN GRASS,"Silage, mature",Forage,kg
177,SUDAN GRASS,"Silage, mid-maturity",Forage,kg
178,SUGAR ,Sugar ,Conc,kg
179,SUGARCANE,"Bagasse, hay",Forage,kg
180,SUGARCANE,"Bagasse, silage",Forage,kg
181,SUNFLOWER,"Meal, solvent",Conc,kg
182,SUNFLOWER,"Oil seeds, whole",Conc,kg
183,SUNFLOWER,Silage,Forage,kg
184,SWEET CORN,Cannery waste,Conc,kg
185,TAPIOCA,Cassava,Conc,kg
186,TOMATO,Pomace,Conc,kg
187,TRITICALE,"Silage, headed (mature)",Forage,kg
188,TRITICALE,"Silage, mid-maturity",Forage,kg
189,TRITICALE,Grain,Conc,kg
190,TRITICALE,Hay,Forage,kg
191,TRITICALE,Plus pea silage,Forage,kg
192,UREA,Urea,Conc,kg
193,WHEAT,Bran,Conc,kg
194,WHEAT,"Grain, rolled",Conc,kg
195,WHEAT,"Hay, headed",Forage,kg
196,WHEAT,"Hay, vegetative",Forage,kg
197,WHEAT,Middlings,Conc,kg
198,WHEAT,"Silage, early head",Forage,kg
199,WHEAT,"Silage, vegetative",Forage,kg
200,WHEAT,Straw,Forage,kg
201,MILK,"Skim, dried powder",Milk,kg
202,Whole Milk,Whole Milk,Milk,kg
203,Milk Replacer,Milk Replacer,Milk,kg
204,Casein,Casein,Milk,kg
205,Milk replacer 20 CP 20 fat,Replacer,Milk,kg
206,Milk replacer 26 CP 17 fat,Replacer,Milk,kg
207,"Skim milk, fresh",Skimmed,Milk,kg
208,WHEY,Delactosed,Milk,kg
209,WHEY,"Dry, cattle",Milk,kg
210,WHEY,"Wet, cattle",Milk,kg
211,WHEY,Permeate,Milk,kg
212,WHEY,Protein concentrate,Milk,kg
213,Calf grower 14CP (Fed to calves only),Grower,Milk,kg
214,Calf starter 18CP low starch (Fed to calves only),Starter,Milk,kg
215,Calf grower 16CP (Fed to calves only),Grower,Milk,kg
216,Calf starter 18CP high starch (Fed to calves only),Starter,Milk,kg
217,Calf starter 22CP med starch (Fed to calves only),Starter,Milk,kg
218,Calf starter 22CP high starch (Fed to calves only),Starter,Milk,kg
219,RUMEN PROTECTED AA,Arg,Aminoacids,kg
220,RUMEN PROTECTED AA, His,Aminoacids,kg
221,RUMEN PROTECTED AA, Ile,Aminoacids,kg
222,RUMEN PROTECTED AA, Leu,Aminoacids,kg
223,RUMEN PROTECTED AA, Lys,Aminoacids,kg
224,RUMEN PROTECTED AA, Met,Aminoacids,kg
225,RUMEN PROTECTED AA, Phe,Aminoacids,kg
226,RUMEN PROTECTED AA, Thr,Aminoacids,kg
227,RUMEN PROTECTED AA, Trp,Aminoacids,kg
228,RUMEN PROTECTED AA, Val,Aminoacids,kg
229,Bone Meal,Steamed,Mineral,kg
230,Calcium carbonate,CaCO3,Mineral,kg
231,"Dicalcium Phosphate, dibasic",CaHPO4,Mineral,kg
232,Calcium Phosphate monobasic,Ca(H2PO4)2,Mineral,kg
233,"Calcium Sulfate, dihydrate",CaSO4.2H2O,Mineral,kg
234,"Limestone, ground",No,Mineral,kg
235,"Limestone, dolomite",No,Mineral,kg
236,Magnesium Oxide,MgO,Mineral,kg
237,Potassium Chloride,KCl,Mineral,kg
238,Phosphate rock,No,Mineral,kg
239,Sodium Choride,NaCl,Mineral,kg
240,Sodium Bicarbonate,NaHCO3,Mineral,kg
241,"Sodium Phosphate, Monohydrate",NaH2PO4.H2O,Mineral,kg
242,Sodium Sulfate decahydrate,Na2SO4.10H2O,Mineral,kg
243,Potassium Sulfate,K2SO4,Mineral,kg
244,Ammonium Sulfate,(NH4)2SO4,Mineral,kg
245,"Ammonium Phosphate, dibasic",(NH4)H2PO4,Mineral,kg
246,Ammonium Chloride,No,Mineral,kg
247,Calcium Choride dihydrate,CaCl2.2H2O,Mineral,kg
248,"Calcium Choride,anhydrous",CaCl2,Mineral,kg
249,Calcium hydroxide,Ca(OH)2,Mineral,kg
250,Calcium oxide,CaO,Mineral,kg
251,"Magnesium Chloride, Hexahydrate",MgCl2.6H2O,Mineral,kg
252,Oystershell,Mineral,Mineral,kg
253,Magnesium carbonate,Mineral,Mineral,kg
254,Magnesium hydroxide,Mineral,Mineral,kg
255,Magnesium sulfate (7H2O),Mineral,Mineral,kg
256,Ammonium phosphate (monobasic),Mineral,Mineral,kg
257,"Phosphate, Curacao",Mineral,Mineral,kg
258,"Phosphate, defluorinated",Mineral,Mineral,kg
259,Phosphoric acid,Mineral,Mineral,kg
260,Sodium tripolyphosphate,Mineral,Mineral,kg
261,Potassium bicarbonate,Mineral,Mineral,kg
262,Potassium carbonate,Mineral,Mineral,kg
263,Potassium iodide,Mineral,Mineral,kg
264,Sodium carbonate (H2O),Mineral,Mineral,kg
265,Sodium sesquicarbonate (2H2O),Mineral,Mineral,kg
266,Cobalt carbonate,Mineral,Mineral,kg
267,Cobalt carbonate (6H2O),Mineral,Mineral,kg
268,Cobalt chloride (6H2O),Mineral,Mineral,kg
269,Cobalt sulfate (7H2O),Mineral,Mineral,kg
270,Cobalt organic generic,Mineral,Mineral,kg
271,Copper chloride (2H2O),Mineral,Mineral,kg
272,Copper sulfate (5H2O),Mineral,Mineral,kg
273,Copper oxide,Mineral,Mineral,kg
274,"Copper organic, generic",Mineral,Mineral,kg
275,EDDI,Mineral,Mineral,kg
276,Calcium iodate,Mineral,Mineral,kg
277,Ferrous sulfate (7H2O),Mineral,Mineral,kg
278,Ferrous sulfate (H2O),Mineral,Mineral,kg
279,Ferrous carbonate,Mineral,Mineral,kg
280,Iron oxide,Mineral,Mineral,kg
281,"Iron, organic generic",Mineral,Mineral,kg
282,Manganese chloride,Mineral,Mineral,kg
283,Manganese chloride (4H2O),Mineral,Mineral,kg
284,Manganese carbonate,Mineral,Mineral,kg
285,Manganese sulfate (H2O),Mineral,Mineral,kg
286,Manganese sulfate (5H2O),Mineral,Mineral,kg
287,Manganese oxide,Mineral,Mineral,kg
288,Manganese organic generic,Mineral,Mineral,kg
289,"Selenite, sodium",Mineral,Mineral,kg
290,"Selenate, sodium (10 H2O)",Mineral,Mineral,kg
291,"Selenium yeast, generic",Mineral,Mineral,kg
292,Zinc carbonate,Mineral,Mineral,kg
293,Zinc chloride,Mineral,Mineral,kg
294,Zinc oxide,Mineral,Mineral,kg
295,Zinc sulfate (H2O),Mineral,Mineral,kg
296,"Zinc, organic generic",Mineral,Mineral,kg
297,Vit A premix,Vitamins,Vitamins,kg
298,Vit D premix,Vitamins,Vitamins,kg
299,Vit E premix,Vitamins,Vitamins,kg
300,"VitTM Premix, generic",Vitamins,Vitamins,kg
